DEPT    .M	DEN     .g/cm3
795.37	2.221
795.42	2.233
795.47	2.237
795.52	2.227
795.57	2.201
795.62	2.176
795.67	2.159
795.72	2.147
795.77	2.138
795.82	2.15
795.87	2.165
795.92	2.17
795.97	2.163
796.02	2.167
796.07	2.161
796.12	2.164
796.17	2.166
796.22	2.177
796.27	2.185
796.32	2.195
796.37	2.202
796.42	2.202
796.47	2.197
796.52	2.193
796.57	2.19
796.62	2.189
796.67	2.183
796.72	2.173
796.77	2.156
796.82	2.137
796.87	2.122
796.92	2.113
796.97	2.113
797.02	2.123
797.07	2.138
797.12	2.157
797.17	2.173
797.22	2.194
797.27	2.214
797.32	2.233
797.37	2.241
797.42	2.234
797.47	2.215
797.52	2.186
797.57	2.156
797.62	2.141
797.67	2.137
797.72	2.139
797.77	2.125
797.82	2.125
797.87	2.119
797.92	2.11
797.97	2.097
798.02	2.088
798.07	2.099
798.12	2.106
798.17	2.11
798.22	2.121
798.27	2.124
798.32	2.119
798.37	2.113
798.42	2.117
798.47	2.129
798.52	2.146
798.57	2.145
798.62	2.167
798.67	2.167
798.72	2.16
798.77	2.159
798.82	2.145
798.87	2.133
798.92	2.123
798.97	2.116
799.02	2.116
799.07	2.123
799.12	2.137
799.17	2.151
799.22	2.166
799.27	2.182
799.32	2.201
799.37	2.201
799.42	2.22
799.47	2.229
799.52	2.222
799.57	2.196
799.62	2.164
799.67	2.148
799.72	2.144
799.77	2.137
799.82	2.131
799.87	2.118
799.92	2.11
799.97	2.105
800.02	2.11
800.07	2.11
800.12	2.103
800.17	2.112
800.22	2.12
800.27	2.122
800.32	2.117
800.37	2.09
800.42	2.081
800.47	2.07
800.52	2.053
800.57	2.036
800.62	2.017
800.67	2.004
800.72	2.001
800.77	2.007
800.82	2.01
800.87	2.02
800.92	2.025
800.97	2.027
801.02	2.023
801.07	2.018
801.12	2.028
801.17	2.018
801.22	2.011
801.27	2.004
801.32	2.006
801.37	2.008
801.42	2.023
801.47	2.042
801.52	2.062
801.57	2.064
801.62	2.077
801.67	2.073
801.72	2.056
801.77	2.034
801.82	2.008
801.87	2
801.92	1.98
801.97	1.961
